"x" "y"
2.75 0.025
3 0.32
3.25 0.378
3.5 0.839
3.75 0.666
4 1.063
4.25 1.362
4.5 1.518
4.75 2.634
5 3.989
5.25 3.355
5.5 6.609
5.75 6.513
6 6.32
6.25 9.343
6.5 7.709
6.75 9.092
7 13.08
7.25 12.71
7.5 12.755
7.75 15.519
8 12.513
8.25 14.044
8.5 16.109
8.75 17.47
9 13.992
9.25 15.409
9.5 20.352
9.75 20.68
10 18.306
10.25 22.133
10.5 15.557
10.75 19.066
11 19.743
11.25 18.437
11.5 20.412
11.75 19.623
12 20.692
12.25 17.107
12.5 19.746
12.75 16.357
13 22.095
13.25 19.307
13.5 22.17
13.75 17.499
14 20.592
14.25 18.063
14.5 16.016
14.75 18.533
15 19.16
15.25 22.12
15.5 24.153
15.75 19.151
16 20.653
16.25 17.837
16.5 24.225
16.75 18.858
17 17.397
17.25 21.151
17.5 24.45
17.75 18.702
18 17.405
18.25 18.945
18.5 17.618
18.75 20.295
19 21.072
19.25 19.107
19.5 20.984
19.75 18.421
20 19.29
